animeID,studio
1245,Production Reed
1246,Artland
1247,A.C.G.T.
1248,Sunrise
1249,Sunrise
1250,Xebec
1251,Gainax
1252,Gainax
1253,Toei Animation
1254,Toei Animation
1255,Toei Animation
1256,Toei Animation
1257,Toei Animation
1258,Toei Animation
1259,Toei Animation
1260,Toei Animation
1261,Tatsunoko Production
1262,AIC
1264,Sunrise
1265,Sunrise
1266,Sunrise
1267,Sunrise
1268,Madhouse
1269,Madhouse
1270,AIC
1270,animate Film
1271,AIC
1276,Tokyo Kids
1278,Toei Animation
1279,Studio Pierrot
1280,Madhouse
1281,Studio Pierrot
1284,Production Reed
1285,Zero-G Room
1286,Zero-G Room
1287,Toei Animation
1287,Studio World
1288,Studio Deen
1289,Sunrise
1290,Madhouse
1292,Gonzo
1293,Studio Pierrot
1293,Studio Deen
1295,Studio Fantasia
1296,APPP
1297,Studio Fantasia
1298,Studio Fantasia
1299,The Answer Studio
1300,APPP
1301,Toei Animation
1302,Toei Animation
1302,Studio World
1303,Madhouse
1303,Studio 4°C
1311,Madhouse
1312,Xebec
1313,Toei Animation
1314,Sunrise
1316,Production I.G
1317,Production I.G
1324,J.C.Staff
1324,Production Reed
1325,Studio Deen
1327,Toei Animation
1328,Studio Gallop
1329,Madhouse
1333,Nippon Animation
1335,Production I.G
1337,Toei Animation
1338,J.C.Staff
1344,J.C.Staff
1345,Toei Animation
1346,AIC
1346,Artmic
1347,AIC
1347,Artmic
1347,Darts
1348,Darts
1349,AIC
1350,AIC
1351,D.A.S.T.
1352,Madhouse
1356,Toei Animation
1357,A.C.G.T.
1358,Toei Animation
1361,Square Enix
1362,Group TAC
1363,TMS Entertainment
1364,TMS Entertainment
1365,TMS Entertainment
1366,TMS Entertainment
1367,TMS Entertainment
1368,TMS Entertainment
1369,TMS Entertainment
1370,Studio Deen
1371,Tezuka Productions
1372,Studio Deen
1373,Tezuka Productions
1374,OLM
1376,Toei Animation
1379,A.C.G.T.
1381,Sunrise
1382,Sunrise
1384,AIC
1391,Sunrise
1392,Sunrise
1393,Sunrise
1394,Sunrise
1395,Sunrise
1398,Production Reed
1399,Production Reed
1400,Production Reed
1409,Production I.G
1410,Production I.G
1411,Production Reed
1412,Tokyo Movie Shinsha
1413,TMS Entertainment
1414,TMS Entertainment
1416,Tokyo Movie Shinsha
1418,TMS Entertainment
1424,TMS Entertainment
1425,Tokyo Movie Shinsha
1426,Tokyo Movie Shinsha
1427,TMS Entertainment
1429,TMS Entertainment
1430,Tokyo Movie Shinsha
1435,Tokyo Movie Shinsha
1437,Tokyo Movie Shinsha
1441,Group TAC
1442,Madhouse
1443,AIC
1445,Tatsunoko Production
1448,Toei Animation
1450,Sunrise
1451,Production Reed
1453,Studio Deen
1455,Phoenix Entertainment
1456,TNK
1457,Studio Pierrot
1458,Tatsunoko Production
1459,Tatsunoko Production
1460,Tatsunoko Production
1465,Studio Deen
1466,Studio Junio
1466,Annapuru
1468,Studio Pierrot
1469,TMS Entertainment
1470,Sunrise
1471,Sunrise
1472,Sunrise
1473,Sunrise
1474,Sunrise
1474,Production Reed
1475,Sunrise
1476,Sunrise
1477,Sunrise
1479,Sunrise
1480,J.C.Staff
1481,Studio Pierrot
1482,TMS Entertainment
1483,Madhouse
1484,J.C.Staff
1485,Studio Pierrot
1486,Studio Gallop
1487,Bee Train
1488,Studio Pierrot
1489,Remic
1490,Planet
1491,Toei Animation
1492,TMS Entertainment
1493,TMS Entertainment
1494,J.C.Staff
1495,Vega Entertainment
1496,Madhouse
1498,Group TAC
1500,Hal Film Maker
1502,AIC
1505,TMS Entertainment
1506,TMS Entertainment
1508,APPP
1509,Studio Comet
1514,TNK
1515,Studio Fantasia
1516,SynergySP
1517,Radix
1519,Madhouse
1520,Tezuka Productions
1521,Tezuka Productions
1524,Production I.G
1525,OLM
1526,OLM
1527,OLM
1528,Artmic
1530,Kyoto Animation
1531,J.C.Staff
1532,Zexcs
1533,OLM
1534,Toei Animation
1535,Madhouse
1536,Xebec
1537,Toei Animation
1538,Gonzo
1538,AIC
1541,APPP
1542,Sunrise
1543,Daume
1544,"""Brains Base"""
1546,Shaft
1547,Shin-Ei Animation
1548,Toei Animation
1549,Toei Animation
1550,Tokyo Movie Shinsha
1553,OLM
1554,J.C.Staff
1555,Studio Pierrot
1555,AIC A.S.T.A.
1556,"""Brains Base"""
1557,Studio Deen
1559,TMS Entertainment
1560,J.C.Staff
1561,TNK
1562,Nippon Animation
1563,TMS Entertainment
1564,OLM
1565,OLM
1566,Production I.G
1567,TMS Entertainment
1568,Studio Hibari
1569,feel.
1570,Artland
1571,J.C.Staff
1572,Mushi Production
1573,Studio Deen
1574,Studio Deen
1575,Sunrise
1576,Sunrise
1577,Studio Deen
1578,Satelight
1579,Yumeta Company
1580,Studio Fantasia
1580,animate Film
1581,OLM
1582,Production Reed
1583,Ishimori Entertainment
1586,ufotable
1587,Bones
1588,Zexcs
1589,Palm Studio
1590,Studio Gallop
1591,Ajia-Do
1592,Studio Gallop
1593,J.C.Staff
1594,Studio Deen
1596,Shaft
1597,Madhouse
1598,Tatsunoko Production
1599,Studio Deen
1600,Satelight
1601,Gonzo
1602,Studio Fantasia
1603,OLM
1604,Artland
1606,Sunrise
1607,Studio Hibari
1608,JCF
1609,Sunrise
1613,Production I.G
1613,Production Reed
1614,Madhouse
1614,Group TAC
1617,Yumeta Company
1618,J.C.Staff
1619,Shaft
1620,TMS Entertainment
1621,Asahi Production
1622,Production I.G
1623,Shaft
1623,TNK
1626,Madhouse
1628,Magic Bus
1629,TMS Entertainment
1631,Bones
1638,Nippon Animation
1640,Venet
1642,Studio Pierrot
1644,J.C.Staff
1645,Studio Z5
1645,Studio March
1647,Ashi Production
1648,TNK
1650,Group TAC
1654,Studio Hibari
1655,Studio Hibari
1657,J.C.Staff
1658,TMS Entertainment
1659,Sunrise
1660,APPP
1661,Toei Animation
1662,TMS Entertainment
1663,Nippon Animation
1664,Vega Entertainment
1665,J.C.Staff
1666,Toei Animation
1667,E&G Films
1668,Madhouse
1669,Nippon Animation
1671,J.C.Staff
1672,Madhouse
1673,Madhouse
1674,Studio Comet
1675,Actas
1676,Vega Entertainment
1678,Shaft
1678,"""Brains Base"""
1678,Japan Vistec
1681,Gonzo
1682,Satelight
1683,Madhouse
1684,Shaft
1689,CoMix Wave Films
1691,Gonzo
1692,Rikuentai
1696,Bee Train
1698,J.C.Staff
1699,Gonzo
1703,Madhouse
1706,Echo
1707,Toei Animation
1709,OLM
1710,Xebec
1711,TNK
1713,Vega Entertainment
1718,J.C.Staff
1719,Nomad
1721,Xebec
1722,feel.
1723,Toei Animation
1724,Studio Comet
1725,Studio Hibari
1726,Madhouse
1727,Ginga Ya
1728,Studio Pierrot
1729,Studio Deen
1731,ufotable
1732,Shaft
1733,Actas
1734,Actas
1735,Studio Pierrot
1736,TMS Entertainment
1737,Production Reed
1738,Telecom Animation Film
1739,Three-d
1740,Trans Arts
1742,Kitty Films
1744,Studio Hibari
1747,Sunrise
1748,Madhouse
1749,Studio Deen
1750,Studio Deen
1751,Production I.G
1752,Madhouse
1753,Madhouse
1754,Madhouse
1757,Madhouse
1758,Madhouse
1760,Tokyo Movie Shinsha
1760,Filmlink International
1761,Filmlink International
1762,J.C.Staff
1762,animate Film
1764,Toei Animation
1765,Toei Animation
1766,J.C.Staff
1767,Madhouse
1768,Radix
1769,Studio Pierrot
1771,Toei Animation
1772,AIC
1773,TMS Entertainment
1774,Satelight
1775,Genco
1775,Radix
1777,Production I.G
1786,J.C.Staff
1789,Sunrise
1792,Sunrise
1793,Madhouse
1794,Sunrise
1795,Sunrise
